,ID, Media,Link,food type
440,887750409875578880,see you in the pit #nationalmoshdogday https://t.co/DmsnY8qObj,http://pbs.twimg.com/media/DFHp9V8XoAA312X.jpg,Seafood
456,882744458403614720,hold the egg whites and this skillet becomes bodyrockable for vegans https://t.co/Z6d16Dz5lh,http://pbs.twimg.com/media/DEAjZ39W0AE4HaV.jpg,Dairy product
476,875423961336729601,waiter: your steak sir  very rare you: wow  that IS rare https://t.co/J81HGTuldg,http://pbs.twimg.com/media/DCYgxp8XYAAcIGf.jpg,Noodles/Pasta
506,863782456364851200,shoutout to all the moms today. we got you these egg blooms https://t.co/1F8zDfkxqn,http://pbs.twimg.com/media/C_zFjuqUAAA5Xx7.jpg,Meat
511,862002656373592066,1953: i bet there will be flying cars in the future. 2017: https://t.co/HQZKqyEMdf,http://pbs.twimg.com/media/C_ZyxfHW0AE7by4.jpg,Seafood
517,859471305044840449,head  shoulders  https://t.co/6TK1bqOnr5,http://pbs.twimg.com/media/C-1G5lrXkAAc2wi.jpg,Egg
522,857717767293739009,The heart wants what it wants and Egg s heart wants a bad boy burger. https://t.co/JhQ3MchuQC,http://pbs.twimg.com/amplify_video_thumb/856855118930739200/img/rJOHlh5dreJ4j5NK.jpg,Dairy product
528,855439010721910784,made a playlist etc https://t.co/n5LfWNupx6,http://pbs.twimg.com/media/C98gaYOXUAEnrYA.jpg,Fried food
542,853419644887212032,cmon guys  still? https://t.co/hpx3VVLd24,http://pbs.twimg.com/media/C9f0o7-XkAASrIC.jpg,Fried food
545,852221666537218056,if you know what a tumblr is  help us win a webdaddy award by voting for ours https://t.co/OkAB5I0dUS https://t.co/gGiWhxxBOu,http://pbs.twimg.com/media/C9Oy-AbXUAAMMZ6.jpg,Soup
549,850037389837836288,waffles in 2017 will now have stories https://t.co/7ouQS75PSq,http://pbs.twimg.com/media/C8vc7zfW0AEeb3j.jpg,Bread
566,847164106528444416,i had to grind for this view https://t.co/SJC1kDt9g5,http://pbs.twimg.com/media/C8G7Nk7W0AE1pST.jpg,Seafood
568,846489525400449025,Things um heat up when the Slams get caught on the Kiss Cam #collegeslam https://t.co/A4LMagc4y8,http://pbs.twimg.com/amplify_video_thumb/846430379007512577/img/m0O3pMac4lC8Ueyf.jpg,Seafood
580,841705006554312704,a perfect circle https://t.co/3cKjRwyysI,http://pbs.twimg.com/media/C65WOrqXUAY5gSS.jpg,Dairy product
592,837041513649606656,zoom in on the syrup https://t.co/omRBupjrXq,http://pbs.twimg.com/media/C53EpikXEAEJxvy.jpg,Egg
598,834523864696758273,tfw your potato has layers https://t.co/DZKcg6E7bA,http://pbs.twimg.com/media/C5TS6oUW8AIw1mJ.jpg,Egg
621,828815554668400640,https://t.co/B4T3fAc9dK,http://pbs.twimg.com/media/C4AQ223WQAMS6g3.jpg,Seafood
622,828800451105599489,https://t.co/cDcwhIUdGc,http://pbs.twimg.com/media/C4AQxoOWEAAYWbq.jpg,Soup
623,828785359936970752,https://t.co/NeUbLv8wLp,http://pbs.twimg.com/media/C4AQr6lW8Acn7en.jpg,Dessert
624,828770262690697216,https://t.co/dLs16Tqpye,http://pbs.twimg.com/media/C4AQm01WYAA7V4B.jpg,Noodles/Pasta
625,828755156678373379,https://t.co/Ub1N1Ddure,http://pbs.twimg.com/media/C4AQgzhWMAQgnJQ.jpg,Egg
626,828740053836795904,https://t.co/u7j7WXBBaA,http://pbs.twimg.com/media/C4AQbW9WcAAn49y.jpg,Dessert
627,828724953767743488,https://t.co/yuEw1kvocf,http://pbs.twimg.com/media/C3_t_jEXAAAhs0p.jpg,Dessert
628,828709866281635843,https://t.co/YaxI7FGneO,http://pbs.twimg.com/media/C3_t6-_XUAAZKeC.jpg,Bread
629,828694778355265539,https://t.co/Bk2psXTlDz,http://pbs.twimg.com/media/C3_t1MAWMAAGmRJ.jpg,Bread
630,828679661160955909,https://t.co/glgwd7BUzm,http://pbs.twimg.com/media/C3_txOnWcAIOhTn.jpg,Soup
631,828664564866756612,https://t.co/fFsfFxN76t,http://pbs.twimg.com/media/C3_ts-BWMAA4uuy.jpg,Egg
632,828649470267097091,https://t.co/49tOZXTSAv,http://pbs.twimg.com/media/C3_teKzW8AARYxi.jpg,Rice
633,828445178268676097,reminder: dennys makes the best comfort food ;) https://t.co/yduhSmCZYM,http://pbs.twimg.com/media/C386fqIUEAAY-0E.jpg,Meat
660,816797613118918658,wow they re at it again. what does this one even mean https://t.co/kiKb22rMtB,http://pbs.twimg.com/media/C1W5LERWQAAcAHm.jpg,Vegetable/Fruit
673,811645796332564480,do you want a free $10 Denny s GIFt card? do you have a tumblr? if yes  click the link: https://t.co/zbBnMA0oty https://t.co/ovgWtDMI8i,http://pbs.twimg.com/tweet_video_thumb/C0OK9o3WQAAUHZj.jpg,Dessert
693,804070146839105537,it s chicken. on a stick! https://t.co/qhuDgHWkUl,http://pbs.twimg.com/media/CyihdyCW8AEqM7Y.jpg,Noodles/Pasta
713,795735954556329984,#mannequinchallenge or #dennyswestworld ? https://t.co/SgTmQ0lO2Q,http://pbs.twimg.com/amplify_video_thumb/795735568500060160/img/hJbPpRvnxs0MiILm.jpg,Egg
717,794624322711289861,if you re truly committing to not shaving this month that includes your ham too https://t.co/5Si4egTtha,http://pbs.twimg.com/media/CwcSDlgWQAAMm79.jpg,Noodles/Pasta
733,788787027529568256,bone app the teeth  buddies ;) https://t.co/n0hlUe6pSr,http://pbs.twimg.com/media/CvJVdLNWEAAXFEC.jpg,Vegetable/Fruit
752,782022617758859264,"hey denny's can I see your phone ""uh yeah one second"" https://t.co/XhTlrm2j8W",http://pbs.twimg.com/media/CtpNbFJXYAAvdeQ.jpg,Noodles/Pasta
756,780939812555591680,This is powerful. I'm sorry  but it is. Please don't write something snarky. https://t.co/uuF9z3FeAM,http://pbs.twimg.com/media/CtZ0hzYWcAAhNIa.jpg,Egg
764,777926719177011201,Share your food pics with #ShareMySlam on Twitter or Instagram  and Denny s will donate $1 to @NoKidHungry. https://t.co/eOvu8PDxoU,http://pbs.twimg.com/media/Cr4JEExWcAABw68.jpg,Vegetable/Fruit
772,774251133489512449,What: Free jr. buttermilk pancakes for kids. When: 4-10pm. The whole month of September. https://t.co/zmge1eIpb6,http://pbs.twimg.com/amplify_video_thumb/774250819961118724/img/SmRmZdu_aYGk_gZD.jpg,Seafood
774,773588634343735297,true innovation would have been replacing the headphone jack with a flapjack https://t.co/xrdlS2Q8IY,http://pbs.twimg.com/tweet_video_thumb/CrxWrnLWAAAIdEx.jpg,Meat
775,773584967293173761,The new water-resistant Pancake. https://t.co/sOpzLyeMVf,http://pbs.twimg.com/tweet_video_thumb/CrxTE4hWEAEfrku.jpg,Meat
777,772529918735446016,Whoa  we re halfway there... Whoa-oh... https://t.co/9r0JlrPOsZ,http://pbs.twimg.com/media/CriTy8PXgAAXEmy.jpg,Bread
786,769185962895212544,bark if you love purebreads #nationaldogday https://t.co/PNya1CcvsT,http://pbs.twimg.com/media/CqyyhLcWEAAVqNz.jpg,Vegetable/Fruit
791,767449033220714498,turtle sundaes are sooooooo cuuuuuuute!!!! https://t.co/dG6LEplFBQ,http://pbs.twimg.com/media/CqaG0a0W8AAHePZ.jpg,Rice
795,766021725356261376,This is the ideal male body. You may not like it  but this is what peak performance looks like. https://t.co/G5i0lA7flc,http://pbs.twimg.com/media/CqF0rHiXYAMLz8-.jpg,Rice
797,765664797329395712,PANCAKE FOUND A SECRET STASH OF SWAG AND IS EXCITED TO GIVE IT AWAY AT 6PM ET TONIGHT. &gt;&gt; https://t.co/D8Uyryeo8T https://t.co/pYaky2MvFP,http://pbs.twimg.com/tweet_video_thumb/CqAvOFqWYAAjwQe.jpg,Rice
821,757656941653069824,This is Todd.  Todd is here to dress up as your family &amp; help you practice breaking the news https://t.co/ZasU0T5dBU https://t.co/IBjxBHs5Er,http://pbs.twimg.com/tweet_video_thumb/CoO84ERWIAAXfvN.jpg,Bread
827,755052942630260740,That moment when a new meme appears on the internet. https://t.co/0DtB6qhF4H,http://pbs.twimg.com/media/Cnp8d3gWYAAVLC4.jpg,Dairy product
828,754733905329197056,9 out of 10 dentists approve this toothbrush https://t.co/AfeZxQXe8E,http://pbs.twimg.com/media/Cnlaez7WYAUx6v9.jpg,Dairy product
832,753693729404383236,Give your snaps the pancakes they deserve with new geofilters at all of our locations. https://t.co/xY4xejgz5g,http://pbs.twimg.com/media/CnWoaB4WYAEPjzl.jpg,Dairy product
835,752921633069891584,OUR https://t.co/YojIaQhPah,http://pbs.twimg.com/media/CnLqOTQWAAAU8dO.jpg,Dairy product
836,752921589969199104,NEW https://t.co/HOX3PADGK9,http://pbs.twimg.com/media/CnLqLfVXgAAo9CQ.jpg,Dessert
837,752921541545979904,PANCAKES https://t.co/K6izKcnGmV,http://pbs.twimg.com/media/CnLqIsIWYAEF-Zd.jpg,Meat
838,752921492258713600,ARE https://t.co/3FLNAiowdX,http://pbs.twimg.com/media/CnLqF5hWYAASBjE.jpg,Vegetable/Fruit
839,752921445634899969,HERE! https://t.co/HcdTxQ12WN,http://pbs.twimg.com/media/CnLqCN4WcAAbWjd.jpg,Soup
843,751128599613280256, we downloaded it and ours is just full of denny s regulars? get outta here mr s! https://t.co/yu3ICdurvJ,http://pbs.twimg.com/media/CmyLdyfXYAA1K7e.jpg,Seafood
845,750392987100872704,the only presentation to care about is right here on THE CHEASEL https://t.co/faR7xFvm7H,http://pbs.twimg.com/tweet_video_thumb/CmnuWyfWgAAUFOl.jpg,Dessert
852,747540306678034432,eggs r cool https://t.co/savwYB42M0,http://pbs.twimg.com/media/Cl_L7vIXEAEbnlv.jpg,Fried food
854,746047686206382081,Win a $2 500 scholarship from #DennysHFE &amp; @TomJoynerFound. Visit https://t.co/HqwvZbuVAK for details. #DennysAtBETX https://t.co/9dI1VfJx8p,http://pbs.twimg.com/media/Ck9InutUUAAvYoB.jpg,Egg
858,743841419354218503,hope your friday's as chilled out as a root bear float https://t.co/Ubc1XJSyno,http://pbs.twimg.com/tweet_video_thumb/ClKnywTUgAADCwp.jpg,Dessert
868,738126988561371136,i can be your angle...or yuor devil https://t.co/viHw9bC8As,http://pbs.twimg.com/media/Cj5alO5UkAAQd5U.jpg,Bread
873,735515987613650945,dill pixels  enhance https://t.co/9wosVKsFx2,http://pbs.twimg.com/media/CjUT5J7VEAAZlqp.jpg,Egg
875,734773404893515776,Win a trip to the @IndependenceDay premiere. For full Official Rules visit https://t.co/4EG3OnLyal #IDRSweepstakes https://t.co/ZNBHU3R7ff,http://pbs.twimg.com/media/CjJwhFWVEAAEzPg.jpg,Rice
881,732297019650248705,"when the banana's like ""it s not you  it's me...it s i m just not ready for a serious relationship right now.."" https://t.co/TpGXbjRR2P",http://pbs.twimg.com/media/CimkQiWVAAQsQbw.jpg,Vegetable/Fruit
883,731220429973524480,happy friday the 13th  hope none of these horror movies happen to you today! https://t.co/NSjW0TJFrB,http://pbs.twimg.com/media/CiXRGxcUgAAsDuR.jpg,Bread
888,729732707563900928,Win a trip to the @IndependenceDay premiere. For full Official Rules visit https://t.co/4EG3OnLyal. #IDRSweepstakes https://t.co/0jwNj8nyvN,http://pbs.twimg.com/media/Cht8m8WUYAQTmCN.jpg,Egg
890,728661102406467585,https://t.co/kVjh7nFujm,http://pbs.twimg.com/media/Chy5ZnjU4AAUSt8.jpg,Soup
897,725410602135384064,we have grapes https://t.co/QoFMakjTtD,http://pbs.twimg.com/media/ChEtGSVUYAAWzEu.jpg,Dairy product
902,723874137756700673,Denny s is a proud partner of @TJMShow s #FantasticVoyage16. Fans aboard this week  see Denny s events on 4/24! #TJF https://t.co/d1Mvr6hNqD,http://pbs.twimg.com/media/CglqEIUU4AEnxj7.jpg,Meat
914,719660691334963201,when you think it's cute to name your cat whiskers and then he gets the whisk disease #nationalpetday https://t.co/iWoDS5kWEg,http://pbs.twimg.com/media/Cfy_lceUsAACqoY.jpg,Bread
922,716026656012390400,No hard feelings @Chicksword32 https://t.co/H4Poxzc0HR https://t.co/lKJZoHIhGd,http://pbs.twimg.com/media/Ce_Wcw3UsAAzbOJ.jpg,Fried food
925,715694833067753472,See the Slams in the College Slam Dunk Contest tonight on ESPN at 9/8c. Vote for your fav dunk with #CollegeSlam https://t.co/4G5fULWDbb,http://pbs.twimg.com/media/Ce6ophAWIAAhmbp.jpg,Egg
930,713070745929166851,her: wanna hang out? we could get denny's... him: eh  i'm not the biggest fan of de- https://t.co/A1v2qH90p6,http://pbs.twimg.com/media/CeVWEKBUYAEM5tW.jpg,Seafood
931,711978296137809920,The most powerful 4-inch piece of cheese ever. https://t.co/VHBf7el6Js,http://pbs.twimg.com/media/CeF0fNUUIAA7M6J.jpg,Meat
933,711697940436287491,salad or facial? https://t.co/pavoLveHKG,http://pbs.twimg.com/media/CeB1gVEVAAA5TUH.jpg,Egg
942,708361700970344448,tfw amber is the color of your dennergy https://t.co/EwGp3gi2Ay,http://pbs.twimg.com/tweet_video_thumb/CdSbKnRUUAAQJfU.jpg,Bread
945,707278286456557568,Pancakes is waiting... #AskPancakes https://t.co/qu3eiX1Vhh,http://pbs.twimg.com/tweet_video_thumb/CdC62ZQW0AIy3Gz.jpg,Meat
949,705549261111324674,#gifparty https://t.co/Szlj7H96O7,http://pbs.twimg.com/tweet_video_thumb/CcqdQlgUcAIfGsh.jpg,Dairy product
950,705548916238868481,#gifparty https://t.co/txFAQHXwEI,http://pbs.twimg.com/tweet_video_thumb/Ccqc9cdVAAEgtlO.jpg,Dessert
951,705548723611242496,#gifparty https://t.co/ygLNsHGwkF,http://pbs.twimg.com/tweet_video_thumb/Ccqc0bjUMAAG414.jpg,Seafood
952,705547559436025856,#gifparty https://t.co/s9F60MWb5S,http://pbs.twimg.com/tweet_video_thumb/Ccqbta0W8AADF6p.jpg,Seafood
954,704822434982031360,get yourself a diner who can do both https://t.co/zcYBcECq1U,http://pbs.twimg.com/media/CcgIRN8UYAAthom.jpg,Noodles/Pasta
957,704110970222866432,the bread carpet coverage is absolutely delicious https://t.co/XZG2WqXrOK,http://pbs.twimg.com/tweet_video_thumb/CcWBBU8UAAIzZZy.jpg,Noodles/Pasta
960,702962403856625664,when you check the trend feed and it's obvious someone's just putting whatever in there https://t.co/i72gxjLeLW,http://pbs.twimg.com/media/CcFslMgVIAE-6LR.jpg,Seafood
1007,687641261147291648,Today  Denny s is making a commitment to source eggs from cage-free chickens by 2026. https://t.co/o3eV63qnsA https://t.co/I74AKNQWdE,http://pbs.twimg.com/ext_tw_video_thumb/687640709076283394/pu/img/oNh52QJdaCMiDoTQ.jpg,Noodles/Pasta
1010,687065777694846976,someone make sure they're using the balls with the pictures not the numbers thanks https://t.co/CBwIEKwZNz,http://pbs.twimg.com/media/CYjyrxwUEAAjN_t.jpg,Vegetable/Fruit
1020,682632568391479296,happy new year's eve! hope you make some rad toasts tonight https://t.co/Sce2osLzmK,http://pbs.twimg.com/media/CXkystfUsAAZ6QF.jpg,Dessert
1022,682313125761282048,wow MAJOR   to success @djkhaled https://t.co/VysLp2Ea1x,http://pbs.twimg.com/media/CXgQK3aWkAAhGqr.png,Fried food
1038,675480451918745600,#upgrade https://t.co/anM5cizV1t,http://pbs.twimg.com/media/CV_J43EWEAA7-6o.jpg,Bread
1043,673929500309266432,Jam with the Slams and get that singing food holiday-themed video knocked off your list. https://t.co/7qV3OaC72j https://t.co/2s1Yp3HMlR,http://pbs.twimg.com/media/CVpHTrxWcAEI-Ap.jpg,Bread
1044,673588965325148160,when the treats hit https://t.co/7zdH8sNIfl,http://pbs.twimg.com/media/CVkRmD-U4AAwW2c.png,Vegetable/Fruit
1059,668106359242534912,this tiny packet cannot contain your greatness ketchup   you are life https://t.co/ndRPyV1gw9,http://pbs.twimg.com/media/CUWXMTyVEAAALSt.jpg,Seafood
1062,667070480654991360,how to draw a thanksgiving pancake https://t.co/8Rpes6rDdY,http://pbs.twimg.com/tweet_video_thumb/CUHpEQSUwAA3Ypy.png,Soup
1107,651142555992588292,http://t.co/FTh7CIrFvD,http://pbs.twimg.com/media/CQlStBHUEAYM_cq.jpg,Rice
1108,651142517031743488,http://t.co/qqURxTbc3x,http://pbs.twimg.com/media/CQlSqwbU8AAc0Sv.jpg,Soup
1109,651142472303640576,http://t.co/Cjm74YfysQ,http://pbs.twimg.com/media/CQlSoJ1UYAEBqvG.jpg,Noodles/Pasta
1113,649954864642977792,lookin' good  guys   http://t.co/HdIDTpLY1e,http://pbs.twimg.com/media/CQUagU9UkAEFacX.jpg,Dairy product
1121,647829220639399937,Tip Toe Wing In To Dennayz http://t.co/kHBiEZ90br,http://pbs.twimg.com/media/CP2NPheUAAERjbX.png,Noodles/Pasta
1122,647427993036582912,got the new tBone6s !!!!! http://t.co/gYtvQO6Wkd,http://pbs.twimg.com/media/CPwgVDRUEAA7Otm.jpg,Vegetable/Fruit
1124,646714071946010624,our favorite part of fall is when the loaves change color http://t.co/FAzvvFT2BO,http://pbs.twimg.com/tweet_video_thumb/CPmXBVpUYAAyklm.png,Dairy product
1129,645975505900994560,In honor of Peace Day  5 companies have come together to create one unified  glorious  and delicious #PeaceDayBurger http://t.co/0jgFNyhD4H,http://pbs.twimg.com/media/CPb3TKWUEAUzDnf.jpg,Soup
1139,641667445569142784,introducing denny's toothpick.   your teeth  performing at full potential. http://t.co/a8uxWmAwXF,http://pbs.twimg.com/media/COepJDsVEAA7WaJ.jpg,Seafood
1142,641003881636298752,hope yr labor day is as chill as this burger in a hammock http://t.co/KgQZjpuQ23,http://pbs.twimg.com/media/COVNoiXVEAAaNAM.jpg,Egg
1147,638786043014193152,want a chance to win a denny's gift card? enter the #bigburgerbash sweepstakes http://t.co/KifkXUAW2g http://t.co/tzyZvQPD6W,http://pbs.twimg.com/media/CN1shV1WUAIUi-i.jpg,Noodles/Pasta
1152,637036935123476480,hey @burgerking how about a Slampper  or a Whammper  or a Whoppaslamus-rex  or something? http://t.co/zWHXfgIPYV,http://pbs.twimg.com/media/CNc1t4SWEAEthE3.jpg,Rice
1191,623898588431581184,Those Nachos We Chose! http://t.co/sRChVuN72N http://t.co/CtY18yv18x,http://pbs.twimg.com/media/CKiIdcWUYAE4DyL.png,Bread
1195,622601889268547584,like we get it  you smoke meat http://t.co/zZi9qxrQ18,http://pbs.twimg.com/media/CKPtGeWUwAAUH7i.jpg,Noodles/Pasta
1231,611241552912891904,Superheroes + Super Food = The Slamtastic 4. Try the new dishes 6/23 and enter the #FantasticFour sweeps today. http://t.co/TmeXqbGtml,http://pbs.twimg.com/media/CHuQ9BPUYAA_UhD.jpg,Rice
1236,609787836221407232,It's your last chance to enter to win a trip to LA and the BET Experience! #MyCommunityPromo https://t.co/KxnsdTY5oU http://t.co/9XRSmtIWkR,http://pbs.twimg.com/media/CHZmzkOUwAAJDQP.jpg,Fried food
1238,608732950453100544,Want to go to the BET Experience Sweepstakes? #MyCommunityPromo   http://t.co/H9QxmMSMTX http://t.co/WccWekyrq4,http://pbs.twimg.com/media/CHKnZIzVAAAHuyr.jpg,Egg
1246,606548546704142337,Let us fly you and a friend to LA for the BET Experience Sweepstakes! #MyCommunityPromo http://t.co/H9QxmMSMTX http://t.co/XAKZYkurTq,http://pbs.twimg.com/media/CGrksGJUgAA2snB.jpg,Meat
1248,605429257649537024,We'll be at the BET Community Impact Awards will you? #MyCommunityPromo  http://t.co/H9QxmMSMTX http://t.co/P7PxjIIaKM,http://pbs.twimg.com/media/CGbqs5pUgAEj-yr.jpg,Soup
1265,601073095894380544,break out the ice cream http://t.co/mtkEogLLq6,http://pbs.twimg.com/media/CFdwy6gUkAEMd3Y.png,Noodles/Pasta
1286,597206141282689024,anatomy of a burger http://t.co/PnVnyxb7J2,http://pbs.twimg.com/media/CEmz0WzWAAAEMjC.jpg,Rice
1297,594559567427538944,good day for thoroughbreads http://t.co/8iHS7gC9a3,http://pbs.twimg.com/media/CEBMxoNUgAAfIB5.jpg,Rice
1320,590296642282266625,Hit up http://t.co/rb9NhR5EoI for more info on #DennysDennys &amp; be sure to take a #boothie when it's in town! http://t.co/aST9PFPB4H,http://pbs.twimg.com/media/CDEnqyeWAAApHI-.jpg,Bread
1332,586569080733376512,happy #nationalsiblingsday brothers  sisters  brosis  fraternal twins  identical twins  possibly evil twins... http://t.co/yAFt271Bon,http://pbs.twimg.com/media/CCPpeJBW4AEQeBy.jpg,Vegetable/Fruit
1338,585462139525005312,swipe up to see these pancakes fly http://t.co/2tuk8vUAXj,http://pbs.twimg.com/media/CB_6tq3UgAAUaxf.png,Soup
1340,585188522803535872,Why are all these people celebrating? https://t.co/b0LWKl9h5i http://t.co/PYxMa3gjF1,http://pbs.twimg.com/media/CB8B3EoUkAA5N_u.png,Rice
1347,583785384506597377,this is who is tweeting btw #collegeslam http://t.co/62QgehoAwL,http://pbs.twimg.com/media/CBoFcGfUoAAGr3x.jpg,Soup
1348,583784306692108288,chill vibe in this room #collegeslam http://t.co/99c292WgyJ,http://pbs.twimg.com/media/CBoEudHUoAIWxFt.jpg,Bread
1350,583782001544527872,nevermind it got wild #collegeslam http://t.co/SmHESwnPve,http://pbs.twimg.com/media/CBoCoyfUMAEOhrv.jpg,Vegetable/Fruit
1351,583780886086189056,have infiltrated the wildman room. only thing wild about it is the carpet? was hoping it'd be more wild. #collegeslam http://t.co/hvBJCqTqk7,http://pbs.twimg.com/media/CBoBmyZUIAA5cIK.jpg,Rice
1352,583778592838000641,"#collegeslam  we gotta learn more about this ""wildman room"". it sounds  um  wild....man http://t.co/ZgAwVnQTYg",http://pbs.twimg.com/media/CBn_db4W8AAehLv.jpg,Bread
1353,583777161720528896,3 point queen Andrea Hoover #collegeslam http://t.co/5frQplEN00,http://pbs.twimg.com/media/CBn-MW9UEAAhuj5.jpg,Dairy product
1354,583772256469417984,glitch action shot #collegeslam http://t.co/ya9JiU8PAs,http://pbs.twimg.com/media/CBn5xjJXIAAVmW5.jpg,Meat
1355,583769553903165440,we're live at the college slam dunk championship about to get rowdy with this idk plastic sausage? http://t.co/iIFHcoTQ4g,http://pbs.twimg.com/media/CBn3UIkXIAAFKcN.jpg,Vegetable/Fruit
1356,583731985044082688,Come experience the magic of DreamWorks! Now at America s Diner. http://t.co/spFPDl1kNK,http://pbs.twimg.com/media/CBnVJahUIAATh37.jpg,Dairy product
1369,579019620662812673,Congrats to the #dennysdunkcontest winner  @JKPbeebop! http://t.co/UOQE2nzEFF,http://pbs.twimg.com/media/CAkXRuAWMAIigsC.png,Fried food
